age,annual_income,monthly_debt,existing_cc_balance,total_cc_limit,requested_limit,predicted_limit,approved
49,28133,227,1083,25355,9270,4369,0
61,76547,309,99,4908,7254,13332,1
75,34188,883,2082,9619,6495,5883,0
35,31343,360,10942,18509,15327,4532,1
42,21370,99,2906,12010,11282,2477,0
68,30145,392,740,8113,6328,4933,1
19,25985,192,399,6621,11789,4924,1
54,50061,656,7659,12896,2632,6636,1
61,36812,211,0,0,12767,7575,0
26,39018,90,1854,8339,15541,6729,1
22,31255,181,4062,10397,2389,5340,1
32,57173,219,4843,10219,8208,9513,1
68,26493,119,2704,5584,6458,4098,1
62,40398,290,705,4900,8961,8133,1
61,19680,95,0,0,7321,4124,1
51,26637,392,3187,7437,3294,4272,1
26,39237,247,6633,18239,8834,6194,1
66,19395,189,3245,5899,7579,3031,0
21,41718,184,112,12191,11924,7682,1
31,34832,446,5680,18619,9380,5664,0
56,46446,193,1391,9843,10204,8485,1
60,26134,75,8167,14485,6083,2686,1
57,65644,490,3979,10263,5815,10666,1
43,32673,36,2911,6945,15150,5354,0
75,87989,564,4737,17079,12331,15451,1
35,34811,556,0,0,5784,6092,1
73,34602,30,636,12765,16190,7475,1
37,34691,207,22328,53029,3602,4329,1
47,37233,343,3016,10202,4983,7079,0
45,34521,582,0,0,18316,5311,0
24,39721,234,700,8525,8837,6262,1
20,57379,720,118,9757,8347,10961,1
65,15181,702,1785,11587,5841,1513,1
21,25368,838,3673,6393,11132,2853,1
60,26371,635,6773,41532,8808,4095,0
48,55679,605,1074,13158,10619,10302,1
75,12000,363,4993,10580,11290,760,0
47,23951,200,796,7756,9713,3919,1
40,63663,89,1087,7732,4927,11715,1
38,20182,775,7856,13327,18379,1484,1
41,45017,769,820,12825,11206,7527,1
50,32987,476,264,2579,21058,5091,0
23,22759,136,4243,23444,6271,3222,0
67,45509,484,4876,12635,8881,8370,1
68,28955,649,3664,12095,11397,3529,1
33,12419,555,2186,11519,11283,2650,1
51,24896,607,869,8596,4801,3480,1
36,44332,209,2491,20314,6397,7439,0
68,35217,37,0,0,4683,6562,1
67,21117,1047,4467,12362,2864,2595,0
