age,annual_income,monthly_debt,avg_monthly_balance,overdraft_usage,approved
49,25123,226,1996,0.506,1
61,9000,800,454,0.145,0
75,27577,567,1247,0.268,1
35,24241,895,1213,0.3,1
42,22924,729,1726,0.174,0
68,32842,38,1313,0.292,1
19,9000,394,-821,0.248,1
54,43762,1262,1036,0.164,1
61,34402,408,-351,0.1,1
26,30056,1209,655,0.053,1
22,48888,274,2371,0.142,1
32,31185,854,1394,0.091,1
68,13628,264,-1179,0.117,0
62,30848,1063,469,0.307,0
61,37077,1056,1303,0.132,1
51,25920,308,1502,0.317,1
26,71408,928,1240,0.178,1
66,25119,37,2145,0.0,1
21,35047,835,1456,0.626,1
31,64667,278,2628,0.074,1
56,18308,193,802,0.048,1
60,46873,622,1429,0.107,1
57,38034,198,2067,0.449,1
43,34130,1158,2046,0.397,1
75,22081,228,2593,0.302,1
35,26218,676,1752,0.133,1
73,26428,1273,1509,0.033,0
37,25324,114,431,0.695,1
47,20403,784,2361,0.025,1
45,35595,524,280,0.2,1
24,18930,272,828,0.12,1
20,20647,1610,186,0.0,1
65,19048,182,1356,0.101,1
21,53812,490,1195,0.176,1
60,26310,27,2267,0.114,1
48,15006,305,335,0.075,1
75,23571,842,-586,0.201,0
47,41134,150,2321,0.426,1
40,61065,174,2296,0.355,1
38,16607,174,712,0.234,0
41,14198,701,913,0.111,1
50,21028,1011,846,0.238,1
23,58849,60,1180,0.12,1
67,52059,25,1433,0.0,1
68,39189,1015,2556,0.424,1
33,38587,318,1874,0.0,1
51,60431,1018,1330,0.217,0
36,55535,866,2506,0.087,0
68,17899,179,2117,0.131,1
67,22491,426,576,0.494,0
60,58371,475,1866,0.084,1
18,24956,737,471,0.199,1
41,38432,1902,1034,0.035,1
49,35403,365,1619,0.014,1
68,15526,242,1720,0.01,1
30,43963,508,1942,0.012,1
23,14335,363,2495,0.235,1
58,40208,212,1487,0.115,1
25,31399,268,581,0.008,1
27,17637,502,1965,0.38,0
22,42322,648,399,0.208,1
25,37860,464,131,0.451,1
55,25848,278,-519,0.274,1
44,25667,658,1904,0.278,1
49,18129,382,-592,0.229,1
22,35695,159,2063,0.018,1
19,22603,827,2348,0.39,0
71,32067,156,2391,0.464,1
36,25021,415,1168,0.032,1
67,31506,492,1532,0.219,1
32,17538,349,979,0.511,1
35,17129,184,2745,0.454,0
52,22236,274,3046,0.452,1
40,16820,535,-346,0.436,0
33,55330,638,462,0.174,1
53,20064,294,1111,0.603,1
68,31003,633,381,0.0,1
36,52949,334,1806,0.028,1
34,37477,358,-256,0.123,1
43,30561,567,1669,0.125,1
55,35889,911,1742,0.246,1
66,10811,506,1315,0.06,1
48,25965,418,698,0.249,1
52,10052,126,1508,0.102,1
20,27532,906,-539,0.373,0
31,37305,672,983,0.367,1
44,21734,650,532,0.207,0
58,58756,206,2726,0.0,1
21,23768,339,838,0.0,0
61,34934,211,2394,0.18,1
32,17525,474,493,0.027,1
57,9000,453,857,0.184,1
27,15271,787,1420,0.0,1
31,25867,681,839,0.173,1
55,24460,21,-19,0.087,1
18,36661,122,1322,0.0,1
73,57049,894,1275,0.145,1
31,21890,1024,920,0.259,0
44,24119,847,1543,0.174,1
55,26080,131,768,0.13,0
48,55789,304,1846,0.462,1
41,21910,647,1291,0.023,1
18,35425,430,818,0.367,1
68,23151,450,1022,0.193,1
52,18450,404,814,0.301,1
29,25343,531,906,0.371,1
61,27401,154,-1500,0.231,0
49,36943,141,2476,0.369,1
46,24666,828,1130,0.022,1
23,40085,579,1807,0.121,1
58,19056,718,-267,0.516,0
53,25319,197,3371,0.487,0
40,74519,295,1832,0.151,1
37,25062,243,1667,0.323,1
59,11432,584,1101,0.29,0
62,18871,640,894,0.199,1
67,20641,463,857,0.36,1
63,19751,906,-109,0.084,0
26,28657,341,1823,0.13,1
38,53886,382,1686,0.425,1
42,50087,853,1276,0.17,1
64,19771,58,-194,0.294,0
27,17014,726,1705,0.007,1
48,32102,111,-304,0.099,1
38,20491,440,-169,0.465,1
40,21769,277,-991,0.159,1
45,17367,364,3594,0.736,1
24,42053,395,1498,0.321,1
73,24242,83,562,0.333,1
42,41730,380,920,0.022,1
52,45468,416,1221,0.167,1
29,37983,272,1011,0.136,1
25,37343,242,1904,0.272,1
37,23603,262,407,0.227,1
37,75282,706,3008,0.0,1
30,14178,1479,222,0.122,0
56,14738,420,-70,0.137,0
19,9000,609,2328,0.0,1
26,26319,705,-47,0.263,0
30,31400,430,2011,0.079,1
28,30202,34,2118,0.139,1
18,16512,871,85,0.267,0
55,26735,181,1502,0.0,1
46,52879,284,2588,0.013,1
47,21945,262,1893,0.318,1
52,31462,747,1289,0.138,1
24,37508,285,489,0.079,1
58,11928,501,377,0.117,1
36,39525,377,743,0.332,1
60,26709,593,902,0.531,1
39,12018,92,-45,0.118,1
23,31174,270,1267,0.0,1
41,49286,177,2000,0.058,1
29,26973,46,-45,0.209,1
70,10935,228,714,0.262,1
67,21615,400,1551,0.294,1
32,24808,55,2539,0.031,1
56,29475,713,609,0.306,0
61,18564,118,2119,0.081,1
41,22845,365,2095,0.248,1
72,13532,451,672,0.387,1
44,31238,708,1319,0.058,0
62,42160,599,2282,0.343,1
19,9000,555,384,0.106,0
44,24417,517,2686,0.34,1
18,9000,65,-333,0.0,1
25,32893,123,2018,0.097,1
74,19186,223,1869,0.129,1
53,32026,269,1335,0.083,1
46,31978,100,722,0.009,1
24,45170,540,3262,0.695,1
33,25604,548,1938,0.613,1
56,21516,374,1399,0.399,1
51,32824,991,1361,0.486,0
45,32685,253,1620,0.116,1
66,18036,951,72,0.0,0
74,21744,470,1933,0.334,1
64,20066,119,2955,0.428,1
45,35318,477,1389,0.0,1
49,22927,70,988,0.325,1
36,17960,631,2327,0.672,0
40,52763,276,1504,0.131,1
65,16613,382,166,0.626,1
59,13559,269,997,0.033,1
43,20049,457,912,0.186,1
27,24917,1171,963,0.387,1
69,40955,423,1534,0.115,1
72,39879,786,2155,0.097,1
41,33394,217,3023,0.112,1
31,40899,1551,10,0.101,0
41,20271,575,1018,0.359,1
46,28891,177,-303,0.42,0
38,19072,1356,-1105,0.074,1
53,19674,782,-657,0.031,0
48,26543,490,669,0.263,1
70,36448,215,1384,0.065,1
73,28437,849,2527,0.433,0
75,38401,504,1743,0.071,1
58,24918,807,1799,0.222,0
30,30444,1329,310,0.561,1
27,47073,442,1745,0.188,1
56,41436,795,715,0.156,1
26,41376,334,3748,0.245,1
43,34768,649,-244,0.472,0
22,20986,847,614,0.232,1
67,13546,316,732,0.289,1
58,40466,400,1882,0.203,1
68,24676,898,428,0.05,1
47,25651,94,849,0.362,1
69,9531,504,1187,0.05,1
54,24320,263,1227,0.464,1
19,22239,576,1939,0.092,1
20,43778,385,516,0.042,1
37,40859,538,1481,0.021,1
44,15920,252,1720,0.154,1
31,24301,1496,337,0.0,0
62,39558,405,2451,0.055,1
50,28716,160,1017,0.232,0
46,17488,486,-4,0.229,1
31,40848,645,1233,0.041,1
27,18559,529,1492,0.031,1
45,12496,121,-74,0.264,1
21,34768,1883,2561,0.026,1
72,16705,221,641,0.129,1
40,32411,958,1372,0.134,1
74,18797,411,1287,0.136,1
36,32181,523,1000,0.452,1
22,19515,648,746,0.015,1
53,27031,125,817,0.384,1
54,21659,312,725,0.296,0
55,26730,352,-413,0.115,1
65,21283,397,673,0.0,1
73,27575,304,185,0.275,0
46,18045,839,989,0.0,0
46,71978,1168,803,0.069,1
18,17868,430,923,0.047,1
72,19072,248,1730,0.133,1
32,27312,883,1908,0.221,0
57,17274,184,1187,0.058,1
40,22375,259,476,0.139,1
49,20372,593,1057,0.194,0
20,13592,817,-36,0.043,0
58,32176,581,931,0.065,0
31,56395,642,2364,0.089,1
60,26143,345,2227,0.055,1
63,44112,645,-615,0.17,0
59,23157,202,2012,0.089,1
20,44611,21,2359,0.207,1
21,30070,147,1497,0.096,1
64,28616,247,225,0.245,1
59,46335,321,1306,0.315,1
53,15953,741,980,0.516,1
24,35093,505,2154,0.382,1
58,43234,44,2385,0.384,1
51,27450,1153,1592,0.492,1
61,31269,463,1242,0.235,0
50,55485,986,1435,0.491,1
48,18442,597,1695,0.108,1
26,14590,104,1371,0.055,1
29,22959,111,2151,0.098,1
38,20429,366,2700,0.157,1
20,25264,341,1242,0.671,1
64,15420,302,297,0.48,1
66,28735,403,955,0.39,1
47,36159,216,2038,0.369,1
64,21970,95,1580,0.236,1
38,15731,1310,-423,0.309,0
71,18005,42,2202,0.165,1
21,18198,620,2277,0.133,1
74,28449,982,1647,0.501,1
19,36688,382,2882,0.306,1
20,59529,141,1414,0.358,1
62,27314,551,1067,0.271,1
39,32108,96,1736,0.113,1
31,31084,323,2270,0.353,1
20,27223,790,-453,0.283,1
23,42972,288,1217,0.164,1
43,55760,192,1744,0.056,0
21,24211,575,-216,0.153,0
60,12473,123,2073,0.097,1
55,32299,305,997,0.233,1
55,19893,279,1069,0.0,1
24,26147,725,785,0.268,1
57,35053,754,1473,0.082,1
63,31252,754,1106,0.258,1
50,18074,485,2016,0.36,0
71,15350,914,3083,0.0,1
51,22091,1145,859,0.0,1
47,29454,400,1436,0.213,1
66,22640,623,2897,0.119,0
28,16921,213,1825,0.304,1
26,44703,100,479,0.177,1
56,31637,131,-107,0.32,0
56,65401,180,2005,0.144,0
51,10609,226,-61,0.157,1
42,20869,263,2787,0.118,1
56,23325,652,987,0.127,0
34,17807,94,86,0.351,1
75,35521,660,931,0.15,1
29,61936,779,2409,0.112,1
40,17488,397,1729,0.069,1
33,23566,656,2290,0.079,1
44,24140,641,1438,0.132,0
71,17771,288,1491,0.224,1
52,43635,542,1289,0.398,1
66,21919,351,1916,0.183,1
50,24705,604,1836,0.084,1
24,46113,195,2801,0.213,1
18,20482,318,983,0.417,0
27,45555,668,713,0.024,1
74,35221,523,2434,0.196,1
23,48371,279,574,0.038,1
49,18293,827,-202,0.192,1
32,17862,185,378,0.219,1
41,30882,486,-746,0.29,1
33,21023,285,1092,0.103,1
62,50666,720,487,0.024,1
60,37932,31,1109,0.088,1
66,36140,150,126,0.161,1
53,30833,1021,1018,0.369,1
30,54175,727,1643,0.277,1
56,34159,118,1358,0.253,1
49,45499,412,629,0.438,1
49,13158,247,1069,0.085,0
54,14634,42,659,0.508,0
45,26276,697,433,0.299,1
59,45937,202,358,0.21,1
40,24895,770,203,0.266,1
24,19555,560,1390,0.0,0
