age,annual_income,monthly_debt,requested_loan,loan_term_months,max_loan,approved
49,27674,236,13848,60,46970,0
61,41239,265,14758,36,42696,1
75,41496,636,11578,48,52561,1
35,49420,786,9781,72,90000,1
42,33826,311,19582,24,20888,1
68,23664,637,5824,36,19254,1
19,18022,376,32568,48,20282,1
54,20338,275,6682,60,34438,0
61,14545,458,13271,48,17033,1
26,28032,132,5625,72,59120,1
22,29766,803,11339,36,25667,1
32,63598,235,25136,24,43302,1
68,17559,571,13862,12,3572,1
62,23782,159,6589,36,26815,1
61,24220,121,20620,12,9831,0
51,28161,826,10273,60,40293,1
26,60910,363,30019,60,90000,1
66,20234,131,8929,36,20389,1
21,31547,202,8516,48,43297,1
31,14593,238,4037,60,19674,1
56,30119,117,2529,36,32706,1
60,33512,357,10357,12,9833,1
57,41372,856,11007,12,10865,0
43,24637,561,21329,24,13002,1
75,25402,858,4407,24,10802,1
35,24005,152,6473,24,15984,1
73,13442,252,13528,36,13199,1
37,54794,252,12779,60,90000,1
47,20393,559,8685,24,10747,1
45,25745,113,8370,48,38403,1
24,77514,58,20749,60,90000,1
20,29664,205,12427,36,28288,1
65,40559,145,13865,36,41701,1
21,44554,197,16432,36,45008,1
60,37849,645,5565,48,43695,1
48,30581,439,6203,12,9236,1
75,23661,750,6797,24,7496,1
47,66495,297,14641,72,90000,1
40,29767,210,8765,12,10142,1
38,49038,110,7666,12,16882,1
41,65981,704,5948,24,42241,1
50,69620,169,9307,24,48235,1
23,60926,494,17997,36,64374,1
67,25406,254,17862,60,41845,1
68,38486,376,19641,36,38303,1
33,40000,762,5162,60,61337,1
51,58753,321,20426,36,60387,1
36,27143,683,22252,72,47043,1
68,33365,246,1817,36,33924,1
67,35625,339,19387,36,38377,1
60,40678,332,9166,36,41585,1
18,36280,468,10832,36,33664,1
41,54857,145,13511,48,76018,0
49,78092,223,6281,72,90000,1
68,45801,647,11852,36,44521,0
30,59245,432,9942,36,62912,1
23,42535,508,10662,24,26874,1
58,39295,566,11956,12,14890,1
25,30008,1472,46923,36,16789,1
27,33143,1082,3272,48,35169,1
22,29847,894,8610,60,42350,1
25,33480,189,17013,36,34917,1
55,31010,308,9283,60,51314,1
44,21537,64,26070,36,19717,1
49,33080,468,43294,60,49590,1
22,31553,1535,5472,24,15345,1
19,72220,744,7733,36,70173,1
71,27111,158,8785,36,27685,1
36,18685,274,19846,36,17066,1
67,31139,821,11279,60,46591,1
32,39236,1393,19339,12,7699,0
35,49823,375,14287,48,68003,1
52,31658,409,7480,72,64651,1
40,42624,731,10319,48,53332,0
33,27346,582,13316,24,14653,1
53,19498,338,7641,60,33880,1
68,35821,87,35258,60,61670,1
36,24614,645,5773,36,19612,1
34,32686,512,16207,36,31905,1
43,61193,452,9657,60,90000,1
55,20577,356,12490,36,21333,1
66,25026,507,39623,24,13355,1
48,42863,179,13459,36,41920,1
52,39988,579,15245,72,75554,1
20,30083,104,12830,48,41098,1
31,21350,292,2544,36,22312,1
44,56204,78,13797,48,82672,1
58,37531,152,21663,24,29725,1
21,56305,532,14904,48,77610,1
61,32903,446,6342,24,19563,1
32,29380,251,9738,48,40628,1
57,22167,60,5036,24,16750,0
27,32350,223,12647,60,51550,1
31,27047,551,10916,60,39258,1
55,32101,914,16409,60,41710,1
18,36781,133,31955,12,16164,1
73,46711,443,5467,24,30069,1
31,26998,253,9021,60,45919,1
44,13000,699,4820,72,15258,1
55,25053,701,10325,24,13763,0
48,51265,171,13965,36,57786,1
41,40891,375,9112,24,26596,1
18,31590,454,14283,48,41445,1
68,13000,392,10773,60,18944,1
52,24276,638,3855,36,16608,1
29,21948,688,22083,48,25536,1
61,106349,519,9863,60,90000,1
49,40796,627,3559,48,49449,1
46,15622,286,7980,48,22264,1
23,34828,364,13046,36,30999,1
58,49234,287,15387,12,17157,1
53,38049,437,14587,48,49228,1
40,42942,124,15840,48,60494,0
37,26713,463,16298,72,50804,1
59,39349,41,24988,48,57769,1
62,35186,546,3885,72,69839,1
67,78212,766,46173,24,48158,1
63,39292,543,13702,36,34672,1
26,54731,292,23734,36,56197,1
38,28500,250,7196,24,19291,1
42,38865,800,13607,24,24151,1
64,72770,542,3221,36,71549,1
27,41727,626,25270,36,39812,1
48,36010,601,8770,36,34166,1
38,36835,807,7658,24,23258,0
40,36450,503,3269,48,43593,1
45,59728,215,8709,24,43541,0
24,42825,105,4474,36,45855,1
73,25041,1336,4348,60,26387,0
42,75350,273,11353,48,90000,1
52,27585,822,10510,24,18447,1
29,35792,371,5135,36,36584,0
25,29473,270,9757,72,58230,1
37,36462,462,7398,60,61040,0
37,29211,472,6549,36,29820,0
30,47062,566,19149,48,59271,0
56,72319,1061,4901,48,89426,0
19,25935,845,19425,60,34249,1
26,29728,350,4607,60,49286,1
30,18029,516,6719,12,1647,1
28,24909,269,16650,36,26908,1
18,38526,831,8430,24,19000,0
55,32609,528,18293,60,51027,0
46,28915,577,1900,24,17687,1
47,39615,437,4635,72,77746,1
52,33797,485,9022,24,20475,1
24,83270,1117,10197,60,90000,1
58,54313,724,14895,60,85048,1
36,32225,298,18602,24,21095,0
60,38429,335,15652,36,37540,1
39,38589,578,6216,36,37588,1
23,43597,317,16109,60,75088,1
41,43739,261,7917,48,59295,1
29,55055,400,7669,60,90000,1
70,49917,419,19031,36,47747,1
67,47085,337,15775,36,46994,1
32,24094,135,4406,36,24463,1
56,27313,129,6954,24,19151,1
61,46187,291,30936,36,46902,1
41,31212,352,12624,36,30413,1
72,43749,168,19266,48,58584,1
44,46406,218,13743,36,46588,1
62,26742,227,5173,24,17778,0
19,39169,507,14529,48,50699,1
44,53833,537,13467,12,18005,1
18,49365,601,14061,60,80666,1
25,23595,352,9964,60,36127,1
74,55133,318,15421,36,57519,1
53,32407,620,42796,24,19596,1
46,19725,288,5868,60,31872,1
24,16816,441,9193,24,9832,1
33,52210,380,20167,24,33635,1
56,22282,1029,6788,48,17957,1
51,67736,474,5685,36,67342,1
