age,annual_income,monthly_debt,property_price,deposit_amount,requested_loan,mortgage_term_years,ltv,max_borrow_amount,risk_band,approved
49,34711,262,349947,54203,295744,35,84.5,136834,High,1
61,22124,261,188018,31210,156808,30,83.4,103841,High,0
75,26810,18,194021,30457,163564,20,84.3,104513,Medium,1
35,32364,55,120000,8256,111744,30,93.1,137684,Low,1
42,47623,159,153332,21000,132332,25,86.3,179608,Low,1
68,39181,714,120000,12908,107092,30,89.2,171228,Low,1
19,44067,570,181050,37862,143188,25,79.1,182179,Low,1
54,60965,314,201628,28861,172767,30,85.7,248108,Low,1
61,32633,685,277802,58498,219304,30,78.9,166348,Medium,0
26,29048,330,277808,68205,209603,30,75.4,162129,Low,1
22,60570,627,163176,27636,135540,30,83.1,274989,Low,1
32,25289,488,242025,54888,187137,25,77.3,90359,Medium,0
68,24146,561,188287,27908,160379,30,85.2,105715,High,0
62,29691,0,166704,41488,125216,35,75.1,121819,Low,1
61,22337,450,187081,17319,169762,20,90.7,80495,High,0
51,23529,816,257215,30519,226696,25,88.1,114611,High,1
26,22727,226,120000,18370,101630,30,84.7,97431,Low,1
66,33310,147,222187,71738,150449,15,67.7,149275,Low,1
21,42089,373,226941,33575,193366,30,85.2,193116,Low,1
31,34427,1134,295472,70507,224965,25,76.1,145147,Medium,0
56,29103,443,147143,43421,103722,35,70.5,150539,Low,1
60,81406,738,140222,28594,111628,15,79.6,268712,Low,1
57,34299,255,144542,29252,115290,25,79.8,154812,Low,1
43,46890,247,175585,30095,145490,25,82.9,178787,Low,1
75,47280,342,313919,42522,271397,25,86.5,173899,High,0
35,33420,618,120000,19766,100234,25,83.5,156026,Low,1
73,47001,545,190721,17806,172915,30,90.7,152576,Medium,0
37,41375,237,145229,28336,116893,30,80.5,176979,Low,1
47,33171,244,267448,19384,248064,20,92.8,128480,High,0
45,31623,279,168730,20069,148661,20,88.1,137543,Low,0
24,34363,447,278486,45597,232889,30,83.6,125466,High,0
20,16930,726,246165,74154,172011,15,69.9,60385,High,0
65,40205,387,125642,13035,112607,30,89.6,170416,Low,1
21,36059,513,179754,18382,161372,20,89.8,118203,Medium,1
60,45181,183,191164,31145,160019,30,83.7,244889,Low,1
48,44481,459,120000,35281,84719,15,70.6,201476,Low,1
75,34450,803,342089,65188,276901,30,80.9,161978,High,1
47,67750,181,201985,82417,119568,15,59.2,282702,Low,1
40,26595,757,226269,46054,180215,25,79.6,110263,High,0
38,27940,376,230047,34973,195074,35,84.8,103361,High,0
41,38407,154,266753,79653,187100,25,70.1,159015,Low,1
50,73618,694,318387,51396,266991,15,83.9,260804,Low,1
23,52140,527,120000,21067,98933,25,82.4,216371,Low,1
67,62262,522,156374,61536,94838,15,60.6,270613,Low,1
68,74475,636,120000,6859,113141,30,94.3,315690,Low,1
33,26913,540,248502,35005,213497,30,85.9,115385,High,0
51,14000,634,171468,62092,109376,30,63.8,43781,High,1
36,47522,563,151848,28425,123423,25,81.3,257915,Low,1
68,26554,603,194399,70531,123868,20,63.7,104701,Low,1
67,35595,558,158847,22062,136785,20,86.1,153415,Low,1
60,52199,366,132002,28494,103508,15,78.4,213316,Low,1
18,22255,322,336215,39266,296949,25,88.3,89296,High,0
41,34380,484,207058,47313,159745,20,77.1,134590,Low,1
49,58269,230,406083,44869,361214,30,89.0,296996,Medium,1
68,61576,745,214990,45772,169218,30,78.7,226325,Low,1
30,50095,155,186078,24018,162060,30,87.1,245227,Low,1
23,58294,161,322140,77043,245097,25,76.1,298906,Low,1
58,32585,436,209481,16457,193024,25,92.1,128532,High,0
25,32528,301,178719,38147,140572,15,78.7,120027,Low,0
27,51408,353,153607,8708,144899,25,94.3,205466,Low,1
22,49123,318,120000,15223,104777,25,87.3,247120,Low,1
25,51761,373,223423,38276,185147,25,82.9,239619,Low,1
55,59495,551,203175,28591,174584,15,85.9,261683,Low,1
44,88661,1112,218133,25219,192914,30,88.4,392617,Low,1
49,50957,17,159902,34375,125527,30,78.5,180067,Low,1
22,22942,244,166848,22363,144485,25,86.6,73627,High,0
19,39160,516,138879,30956,107923,25,77.7,163120,Low,1
71,32747,0,188375,30485,157890,25,83.8,163658,Low,1
36,28128,278,152312,26265,126047,25,82.8,121625,Low,1
67,62566,634,201165,16834,184331,30,91.6,284305,Low,1
32,73143,286,195821,44045,151776,30,77.5,364197,Low,1
35,45254,108,247337,35685,211652,25,85.6,188477,Low,0
52,46851,314,142180,33274,108906,15,76.6,199623,Low,1
40,33500,739,311753,33567,278186,25,89.2,161880,High,0
33,31604,351,199165,17417,181748,20,91.3,141319,Medium,0
53,20773,87,224264,59946,164318,25,73.3,92263,Medium,1
68,53393,481,215909,19562,196347,20,90.9,232335,Low,1
36,32127,875,132814,17714,115100,20,86.7,133176,Low,1
